player,pitches,total,pitches%,PA,AB,BIP,H,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,PV,EV,LA
Pete Alonso,613,2780,22.1,160,139,116,40,28,9,0,3,23,14.4,17,10.6,30,256,.288,.300,.381,.392,.417,.480,.355,.381,13,93.7,92.3,7
Vladimir Guerrero Jr.,588,2602,22.6,156,139,127,41,28,12,0,1,13,8.3,15,9.6,22,263,.295,.309,.365,.378,.403,.463,.339,.366,12,93.8,93.0,-2
Jonathan India,583,2652,22.0,164,136,113,35,27,3,2,3,24,14.6,23,14.0,23,226,.257,.322,.378,.435,.375,.454,.339,.395,6,93.0,89.3,6
Yandy Díaz,563,2460,22.9,144,131,112,38,32,4,0,2,20,13.9,10,6.9,21,229,.290,.285,.347,.347,.366,.397,.317,.329,6,93.7,92.3,-8
Spencer Steer,543,2621,20.7,143,126,108,33,23,4,1,5,19,13.3,15,10.5,30,236,.262,.282,.343,.362,.429,.430,.337,.347,5,93.5,88.8,6
Randy Arozarena,540,2774,19.5,129,99,81,27,22,5,0,0,19,14.7,22,17.1,41,204,.273,.279,.434,.446,.323,.374,.356,.384,3,93.9,93.5,7
Willy Adames,538,2733,19.7,148,135,113,39,25,9,0,5,23,15.5,12,8.1,49,272,.289,.301,.345,.356,.467,.516,.350,.373,12,93.4,86.6,15
Anthony Volpe,528,2797,18.9,139,125,105,38,28,7,2,1,20,14.4,13,9.4,31,245,.304,.271,.374,.345,.416,.344,.348,.310,2,93.6,88.6,0
William Contreras,521,2677,19.5,150,133,118,45,30,11,1,3,16,10.7,14,9.3,35,260,.338,.336,.407,.405,.504,.524,.394,.401,10,93.5,94.8,-1
Marcell Ozuna,512,2875,17.8,155,138,112,43,28,10,0,5,27,17.4,15,9.7,32,228,.312,.314,.381,.388,.493,.554,.378,.403,11,93.6,92.9,10
Manny Machado,511,2387,21.4,149,138,127,51,39,7,0,5,12,8.1,10,6.7,27,256,.370,.340,.409,.386,.529,.500,.405,.384,9,93.9,95.0,0
George Springer,507,2304,22.0,152,133,116,31,24,5,0,2,17,11.2,16,10.5,39,249,.233,.273,.329,.364,.316,.404,.294,.340,10,93.1,88.6,0
Isaac Paredes,506,2853,17.7,120,95,77,29,17,7,1,4,19,15.8,20,16.7,29,240,.305,.248,.442,.401,.526,.391,.419,.360,5,93.5,87.7,22
Teoscar Hernández,504,2608,19.3,129,110,96,39,28,7,1,3,14,10.9,14,10.9,40,250,.355,.325,.445,.421,.518,.547,.420,.416,9,93.8,93.1,3
Nico Hoerner,500,2314,21.6,134,116,111,35,24,10,0,1,6,4.5,13,9.7,9,226,.302,.301,.388,.387,.414,.367,.355,.339,1,93.6,87.2,0
Jorge Soler,493,2361,20.9,123,103,86,27,17,5,1,4,18,14.6,17,13.8,35,206,.262,.292,.364,.389,.447,.486,.353,.379,6,93.3,90.4,10
Tyler Stephenson,490,1947,25.2,144,127,100,32,20,7,0,5,27,18.8,11,7.6,39,224,.252,.272,.340,.358,.425,.433,.337,.347,8,93.5,91.6,0
Aaron Judge,488,2885,16.9,129,109,85,43,24,6,1,12,24,18.6,17,13.2,30,198,.394,.375,.484,.468,.798,.807,.531,.523,24,94.2,99.0,9
Joey Ortiz,484,2124,22.8,112,95,88,24,20,4,0,0,8,7.1,14,12.5,8,175,.253,.247,.357,.356,.295,.317,.301,.310,2,93.3,88.7,-11
