player,pitches,total,pitches%,PA,AB,BIP,H,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,PV,EV,LA
Jonathan India,572,2652,21.6,137,117,104,37,26,7,0,4,14,10.2,16,11.7,32,215,.316,.366,.409,.455,.479,.580,.388,.444,11,89.4,90.8,13
Ryan McMahon,545,2723,20.0,109,89,66,23,13,5,0,5,24,22.0,17,15.6,47,232,.258,.265,.385,.393,.483,.435,.377,.367,5,89.8,93.1,11
Kyle Schwarber,535,2852,18.8,128,101,85,32,18,6,0,8,19,14.8,22,17.2,52,211,.317,.296,.438,.425,.614,.630,.441,.440,13,89.7,93.8,12
Gunnar Henderson,521,2896,18.0,122,106,87,34,21,8,1,4,19,15.6,15,12.3,41,214,.321,.283,.410,.377,.528,.414,.405,.350,7,89.7,91.3,5
Luis Arraez,509,2416,21.1,145,137,132,41,31,5,2,3,5,3.4,7,4.8,14,248,.299,.301,.338,.339,.431,.415,.334,.329,4,89.6,87.0,10
Jurickson Profar,504,2739,18.4,99,81,74,24,17,4,0,3,7,7.1,17,17.2,23,195,.296,.303,.424,.430,.457,.484,.390,.401,5,89.7,90.3,16
Willy Adames,503,2733,18.4,132,116,87,30,15,7,0,8,29,22.0,16,12.1,58,250,.259,.241,.348,.333,.526,.493,.374,.355,13,89.8,89.3,27
Elly De La Cruz,501,2751,18.2,123,109,80,32,16,7,2,7,30,24.4,13,10.6,66,234,.294,.276,.366,.351,.587,.560,.401,.385,14,89.7,92.1,9
George Springer,499,2304,21.7,120,95,76,22,17,3,2,0,20,16.7,23,19.2,58,215,.232,.264,.383,.409,.305,.377,.321,.356,4,89.4,90.0,7
Anthony Volpe,495,2797,17.7,131,116,95,29,20,5,1,3,22,16.8,13,9.9,43,239,.250,.291,.323,.360,.388,.438,.312,.348,8,89.8,87.8,11
Masyn Winn,495,2558,19.4,115,105,89,29,15,9,2,3,17,14.8,8,7.0,32,221,.276,.274,.330,.332,.486,.386,.349,.317,2,89.9,88.4,18
Matt Chapman,495,2706,18.3,119,103,80,23,13,6,0,4,23,19.3,14,11.8,51,226,.223,.233,.328,.337,.398,.396,.322,.324,10,89.6,93.6,17
Brandon Nimmo,491,2747,17.9,127,115,99,35,22,7,0,6,16,12.6,9,7.1,33,229,.304,.345,.370,.407,.522,.604,.385,.430,14,89.8,95.2,11
Juan Soto,491,2960,16.6,119,99,90,32,10,7,3,12,10,8.4,19,16.0,31,193,.323,.392,.429,.491,.818,.879,.505,.561,24,89.7,94.9,12
Jarren Duran,487,2844,17.1,118,102,85,33,22,8,0,3,18,15.3,13,11.0,43,209,.324,.322,.407,.406,.490,.508,.390,.395,6,89.8,91.4,5
Anthony Santander,487,2738,17.8,115,102,80,28,16,5,0,7,22,19.1,13,11.3,46,224,.275,.238,.357,.325,.529,.454,.380,.336,11,89.8,91.0,23
Matt Olson,487,2947,16.5,122,106,87,30,15,8,1,6,20,16.4,10,8.2,47,248,.283,.293,.369,.385,.547,.533,.391,.401,12,89.8,93.9,15
Marcus Semien,482,2626,18.4,118,109,104,32,19,6,0,7,5,4.2,9,7.6,20,210,.294,.312,.347,.366,.541,.568,.380,.396,12,89.5,90.3,17
Spencer Steer,481,2621,18.4,113,90,76,24,13,5,1,5,14,12.4,20,17.7,44,216,.267,.279,.416,.426,.511,.458,.403,.391,6,89.7,88.8,15
Francisco Lindor,480,2713,17.7,115,101,94,30,14,7,0,9,7,6.1,10,8.7,27,213,.297,.341,.383,.421,.634,.721,.429,.476,20,89.8,93.2,21
Andrés Giménez,476,2400,19.8,113,103,92,27,21,3,0,3,13,11.5,4,3.5,45,242,.262,.248,.310,.307,.379,.360,.301,.303,4,89.6,86.7,9
Ezequiel Tovar,475,2528,18.8,111,105,79,27,13,6,0,8,27,24.3,3,2.7,65,260,.257,.259,.288,.295,.543,.496,.350,.342,11,89.5,90.0,24
Brendan Donovan,469,2487,18.9,118,106,98,34,24,6,1,3,9,7.6,10,8.5,14,196,.321,.308,.381,.372,.481,.480,.373,.368,5,89.8,90.1,9
Jake Cronenworth,468,2752,17.0,114,106,94,19,12,3,0,4,12,10.5,5,4.4,23,222,.179,.270,.237,.321,.321,.502,.247,.351,9,89.8,89.2,17
Gleyber Torres,467,2821,16.6,102,89,72,29,20,3,0,6,18,17.6,12,11.8,52,229,.326,.264,.402,.348,.562,.450,.411,.345,7,89.7,89.1,19
Paul Goldschmidt,467,2719,17.2,102,94,74,23,14,5,0,4,20,19.6,8,7.8,49,239,.245,.264,.304,.322,.426,.494,.317,.349,10,89.7,88.5,11
Pete Alonso,461,2780,16.6,118,103,89,29,13,9,0,7,14,11.9,14,11.9,20,181,.282,.304,.373,.393,.573,.625,.402,.428,14,89.6,92.8,18
Shohei Ohtani,459,2838,16.2,113,99,87,36,22,4,2,8,13,11.5,11,9.7,46,210,.364,.367,.429,.433,.687,.742,.467,.488,15,89.8,96.2,17
Isaac Paredes,459,2853,16.1,101,87,75,22,10,11,0,1,13,12.9,12,11.9,27,210,.253,.217,.347,.321,.414,.329,.333,.296,1,89.6,86.4,21
Riley Greene,457,2415,18.9,105,89,79,38,17,11,3,7,10,9.5,15,14.3,26,189,.427,.370,.514,.466,.854,.723,.562,.495,11,89.7,93.0,16
Marcell Ozuna,454,2875,15.8,99,84,69,34,19,6,0,9,15,15.2,15,15.2,57,207,.405,.360,.495,.457,.798,.776,.536,.507,14,89.6,92.2,13
Jazz Chisholm Jr.,453,2495,18.2,101,93,76,30,20,2,0,8,17,16.8,8,7.9,54,221,.323,.297,.376,.353,.602,.573,.416,.392,10,89.9,90.1,9
Matt Vierling,449,2312,19.4,103,93,78,31,17,8,0,6,15,14.6,10,9.7,26,175,.333,.322,.398,.387,.613,.533,.429,.396,8,89.9,90.4,17
Adolis García,446,2534,17.6,99,87,73,31,18,8,0,5,14,14.1,11,11.1,51,195,.356,.291,.434,.377,.621,.511,.449,.382,9,89.9,92.1,14
Justin Turner,445,2320,19.2,103,87,82,29,19,6,0,4,5,4.9,13,12.6,17,193,.333,.356,.437,.456,.540,.619,.423,.458,9,89.8,88.5,15
Alex Verdugo,443,2342,18.9,119,103,91,20,15,4,0,1,12,10.1,15,12.6,30,192,.194,.233,.303,.337,.262,.340,.263,.306,3,89.6,87.7,15
William Contreras,442,2677,16.5,130,107,95,31,19,10,0,2,14,10.8,20,15.4,39,197,.290,.343,.400,.444,.439,.620,.368,.448,12,89.8,93.7,11
Nolan Schanuel,441,2356,18.7,107,95,82,25,16,5,0,4,13,12.1,10,9.3,18,190,.263,.257,.346,.340,.442,.402,.345,.327,5,89.9,86.0,14
Alec Bohm,439,2122,20.7,132,119,106,30,18,6,1,5,15,11.4,11,8.3,30,211,.252,.309,.311,.369,.445,.495,.324,.375,10,89.6,90.4,14
Taylor Ward,437,2599,16.8,104,87,70,19,15,2,0,2,19,18.3,13,12.5,42,185,.218,.265,.327,.369,.310,.446,.291,.358,7,89.8,92.2,18
Maikel Garcia,435,2360,18.4,120,112,103,26,18,6,2,0,10,8.3,7,5.8,19,180,.232,.276,.275,.319,.321,.403,.262,.317,4,89.8,90.9,9
José Ramírez,434,2735,15.9,94,87,78,26,10,9,0,7,10,10.6,6,6.4,31,216,.299,.296,.340,.339,.644,.570,.411,.383,10,89.7,88.9,25
Nathaniel Lowe,429,2356,18.2,97,83,70,26,21,1,1,3,14,14.4,13,13.4,23,181,.313,.247,.402,.350,.458,.374,.376,.327,4,90.0,88.9,11
Brice Turang,429,2470,17.4,96,82,73,18,12,3,0,3,9,9.4,14,14.6,16,200,.220,.293,.333,.397,.366,.423,.314,.363,4,89.7,88.6,4
Daulton Varsho,426,2048,20.8,97,88,74,22,14,4,0,4,15,15.5,7,7.2,40,193,.250,.191,.309,.256,.432,.339,.321,.261,5,89.5,84.6,30
Randy Arozarena,425,2774,15.3,100,85,64,25,16,7,0,2,22,22.0,10,10.0,40,159,.294,.255,.390,.358,.447,.455,.368,.356,5,89.8,92.5,12
Ian Happ,423,2721,15.5,97,81,70,24,12,7,0,5,12,12.4,15,15.5,35,190,.296,.281,.402,.394,.568,.534,.412,.401,8,89.8,94.0,17
Jose Altuve,420,2454,17.1,110,101,92,36,29,4,0,3,9,8.2,8,7.3,28,204,.356,.312,.409,.368,.485,.482,.391,.368,6,89.9,89.2,15
Yandy Díaz,419,2460,17.0,94,86,70,30,22,7,0,1,17,18.1,6,6.4,24,166,.349,.314,.394,.367,.465,.424,.373,.349,6,89.8,95.1,4
Nolan Arenado,417,2452,17.0,92,88,85,25,21,2,0,2,3,3.3,2,2.2,21,192,.284,.286,.315,.317,.375,.384,.304,.307,1,89.8,86.4,15
Rafael Devers,417,2375,17.6,95,83,69,19,11,5,0,3,16,16.8,8,8.4,50,197,.229,.282,.305,.352,.398,.454,.306,.349,5,90.0,86.5,8
Steven Kwan,416,2165,19.2,100,87,84,27,22,4,0,1,3,3.0,13,13.0,4,153,.310,.309,.400,.399,.391,.412,.354,.361,2,89.7,85.6,17
Adley Rutschman,414,2593,16.0,97,84,76,24,14,5,0,5,9,9.3,10,10.3,22,185,.286,.295,.371,.380,.524,.490,.383,.377,7,90.1,88.2,20
Freddie Freeman,414,2522,16.4,113,99,84,28,15,5,1,7,17,15.0,11,9.7,39,206,.283,.268,.354,.344,.566,.512,.387,.368,8,89.7,88.4,17
Bryce Harper,414,2469,16.8,94,84,78,35,24,4,0,7,6,6.4,10,10.6,31,202,.417,.377,.479,.444,.714,.653,.504,.464,8,89.6,94.1,13
Vladimir Guerrero Jr.,412,2602,15.8,107,97,80,36,21,10,0,5,17,15.9,10,9.3,37,177,.371,.285,.430,.352,.629,.466,.450,.354,10,89.8,93.0,9
Corbin Carroll,412,2648,15.6,100,82,69,20,9,5,3,3,15,15.0,11,11.0,28,165,.244,.261,.360,.383,.488,.466,.363,.378,5,89.8,90.3,19
Manny Machado,410,2387,17.2,107,101,90,27,19,4,0,4,11,10.3,6,5.6,30,200,.267,.296,.308,.335,.426,.489,.319,.353,7,89.6,94.8,12
Brenton Doyle,409,2158,19.0,121,108,89,26,16,6,0,4,19,15.7,12,9.9,40,218,.241,.295,.322,.371,.407,.544,.321,.391,11,89.5,90.2,12
Jeremy Peña,409,2272,18.0,124,113,98,35,24,7,1,3,16,12.9,3,2.4,35,208,.310,.338,.363,.389,.469,.532,.361,.396,8,89.8,91.4,13
Willi Castro,409,2509,16.3,94,80,68,23,14,6,1,2,13,13.8,11,11.7,43,207,.287,.288,.383,.393,.463,.521,.368,.404,6,89.8,89.4,13
Josh Smith,409,2327,17.6,96,83,72,20,14,4,0,2,12,12.5,8,8.3,28,184,.241,.279,.333,.366,.361,.383,.311,.334,1,89.5,89.2,20
Alex Bregman,409,2393,17.1,122,110,97,30,18,8,0,4,15,12.3,9,7.4,17,187,.273,.286,.328,.344,.455,.483,.336,.359,6,89.8,91.8,20
Bryan Reynolds,407,2604,15.6,105,96,80,25,21,1,0,3,17,16.2,8,7.6,45,209,.260,.296,.314,.350,.365,.472,.299,.357,4,89.4,91.8,14
