player,pitches,total,pitches%,PA,AB,BIP,H,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,PV,EV,LA
Juan Soto,314,2960,10.6,73,60,53,17,8,2,1,6,8,11.0,12,16.4,27,120,.283,.342,.397,.453,.650,.677,.435,.481,11,89.9,94.2,6
Anthony Santander,290,2738,10.6,72,63,51,21,13,2,1,5,12,16.7,9,12.5,34,149,.333,.261,.417,.354,.635,.467,.445,.356,6,90.0,88.9,18
José Ramírez,284,2735,10.4,61,58,50,14,4,6,0,4,8,13.1,3,4.9,25,163,.241,.245,.279,.283,.552,.490,.349,.327,6,89.5,85.7,29
Shohei Ohtani,267,2838,9.4,68,61,54,17,11,1,2,3,9,13.2,5,7.4,41,143,.279,.315,.324,.359,.508,.628,.349,.411,7,90.3,93.1,16
Elly De La Cruz,261,2751,9.5,67,61,45,19,13,1,2,3,16,23.9,6,9.0,40,135,.311,.274,.373,.339,.541,.506,.391,.362,5,89.6,91.8,10
Matt Olson,260,2947,8.8,66,59,47,18,11,4,0,3,13,19.7,5,7.6,35,134,.305,.256,.364,.333,.525,.398,.379,.333,5,89.7,94.0,14
Jarren Duran,255,2844,9.0,69,65,52,18,12,4,1,1,13,18.8,2,2.9,29,127,.277,.293,.319,.335,.415,.448,.320,.340,4,90.4,89.8,5
Aaron Judge,253,2885,8.8,58,48,37,15,7,4,0,4,11,19.0,10,17.2,34,107,.313,.292,.431,.416,.646,.668,.453,.449,8,89.8,93.3,23
Ryan McMahon,252,2723,9.3,55,47,35,12,6,4,0,2,13,23.6,7,12.7,30,126,.255,.238,.345,.335,.468,.440,.350,.336,3,89.5,90.4,12
Willy Adames,250,2733,9.1,68,60,42,12,6,3,0,3,18,26.5,8,11.8,43,130,.200,.205,.294,.298,.400,.477,.305,.331,6,89.4,87.2,25
